date,exchange,year
2001-01-02,XSWX,2001
2001-04-13,XSWX,2001
2001-04-16,XSWX,2001
2001-05-01,XSWX,2001
2001-05-24,XSWX,2001
2001-06-04,XSWX,2001
2001-08-01,XSWX,2001
2001-12-24,XSWX,2001
2001-12-25,XSWX,2001
2001-12-26,XSWX,2001
2001-12-31,XSWX,2001
2002-01-01,XSWX,2002
2002-01-02,XSWX,2002
2002-03-29,XSWX,2002
2002-04-01,XSWX,2002
2002-05-01,XSWX,2002
2002-05-09,XSWX,2002
2002-05-20,XSWX,2002
2002-08-01,XSWX,2002
2002-12-24,XSWX,2002
2002-12-25,XSWX,2002
2002-12-26,XSWX,2002
2002-12-31,XSWX,2002
2003-01-01,XSWX,2003
2003-01-02,XSWX,2003
2003-04-18,XSWX,2003
2003-04-21,XSWX,2003
2003-05-01,XSWX,2003
2003-05-29,XSWX,2003
2003-06-09,XSWX,2003
2003-08-01,XSWX,2003
2003-12-24,XSWX,2003
2003-12-25,XSWX,2003
2003-12-26,XSWX,2003
2003-12-31,XSWX,2003
2004-01-01,XSWX,2004
2004-01-02,XSWX,2004
2004-04-09,XSWX,2004
2004-04-12,XSWX,2004
2004-05-20,XSWX,2004
2004-05-31,XSWX,2004
2004-12-24,XSWX,2004
2004-12-31,XSWX,2004
2005-03-25,XSWX,2005
2005-03-28,XSWX,2005
2005-05-05,XSWX,2005
2005-05-16,XSWX,2005
2005-08-01,XSWX,2005
2005-12-26,XSWX,2005
2006-01-02,XSWX,2006
2006-04-14,XSWX,2006
2006-04-17,XSWX,2006
2006-05-01,XSWX,2006
2006-05-25,XSWX,2006
2006-06-05,XSWX,2006
2006-08-01,XSWX,2006
2006-12-25,XSWX,2006
2006-12-26,XSWX,2006
2007-01-01,XSWX,2007
2007-01-02,XSWX,2007
2007-04-06,XSWX,2007
2007-04-09,XSWX,2007
2007-05-01,XSWX,2007
2007-05-17,XSWX,2007
2007-05-28,XSWX,2007
2007-08-01,XSWX,2007
2007-12-24,XSWX,2007
2007-12-25,XSWX,2007
2007-12-26,XSWX,2007
2007-12-31,XSWX,2007
2008-01-01,XSWX,2008
2008-01-02,XSWX,2008
2008-03-21,XSWX,2008
2008-03-24,XSWX,2008
2008-05-01,XSWX,2008
2008-05-12,XSWX,2008
2008-08-01,XSWX,2008
2008-12-24,XSWX,2008
2008-12-25,XSWX,2008
2008-12-26,XSWX,2008
2008-12-31,XSWX,2008
2009-01-01,XSWX,2009
2009-01-02,XSWX,2009
2009-04-10,XSWX,2009
2009-04-13,XSWX,2009
2009-05-01,XSWX,2009
2009-05-21,XSWX,2009
2009-06-01,XSWX,2009
2009-12-24,XSWX,2009
2009-12-25,XSWX,2009
2009-12-31,XSWX,2009
2010-01-01,XSWX,2010
2010-04-02,XSWX,2010
2010-04-05,XSWX,2010
2010-05-13,XSWX,2010
2010-05-24,XSWX,2010
2010-12-24,XSWX,2010
2010-12-31,XSWX,2010
2011-04-22,XSWX,2011
2011-04-25,XSWX,2011
2011-06-02,XSWX,2011
2011-06-13,XSWX,2011
2011-08-01,XSWX,2011
2011-12-26,XSWX,2011
2012-01-02,XSWX,2012
2012-04-06,XSWX,2012
2012-04-09,XSWX,2012
2012-05-01,XSWX,2012
2012-05-17,XSWX,2012
2012-05-28,XSWX,2012
2012-08-01,XSWX,2012
2012-12-24,XSWX,2012
2012-12-25,XSWX,2012
2012-12-26,XSWX,2012
2012-12-31,XSWX,2012
2013-01-01,XSWX,2013
2013-01-02,XSWX,2013
2013-03-29,XSWX,2013
2013-04-01,XSWX,2013
2013-05-01,XSWX,2013
2013-05-09,XSWX,2013
2013-05-20,XSWX,2013
2013-08-01,XSWX,2013
2013-12-24,XSWX,2013
2013-12-25,XSWX,2013
2013-12-26,XSWX,2013
2013-12-31,XSWX,2013
2014-01-01,XSWX,2014
2014-01-02,XSWX,2014
2014-04-18,XSWX,2014
2014-04-21,XSWX,2014
2014-05-01,XSWX,2014
2014-05-29,XSWX,2014
2014-06-09,XSWX,2014
2014-08-01,XSWX,2014
2014-12-24,XSWX,2014
2014-12-25,XSWX,2014
2014-12-26,XSWX,2014
2014-12-31,XSWX,2014
2015-01-01,XSWX,2015
2015-01-02,XSWX,2015
2015-04-03,XSWX,2015
2015-04-06,XSWX,2015
2015-05-01,XSWX,2015
2015-05-14,XSWX,2015
2015-05-25,XSWX,2015
2015-12-24,XSWX,2015
2015-12-25,XSWX,2015
2015-12-31,XSWX,2015
2016-01-01,XSWX,2016
2016-03-25,XSWX,2016
2016-03-28,XSWX,2016
2016-05-05,XSWX,2016
2016-05-16,XSWX,2016
2016-08-01,XSWX,2016
2016-12-26,XSWX,2016
2017-01-02,XSWX,2017
2017-04-14,XSWX,2017
2017-04-17,XSWX,2017
2017-05-01,XSWX,2017
2017-05-25,XSWX,2017
2017-06-05,XSWX,2017
2017-08-01,XSWX,2017
2017-12-25,XSWX,2017
2017-12-26,XSWX,2017
2018-01-01,XSWX,2018
2018-01-02,XSWX,2018
2018-03-30,XSWX,2018
2018-04-02,XSWX,2018
2018-05-01,XSWX,2018
2018-05-10,XSWX,2018
2018-05-21,XSWX,2018
2018-08-01,XSWX,2018
2018-12-24,XSWX,2018
2018-12-25,XSWX,2018
2018-12-26,XSWX,2018
2018-12-31,XSWX,2018
2019-01-01,XSWX,2019
2019-01-02,XSWX,2019
2019-04-19,XSWX,2019
2019-04-22,XSWX,2019
2019-05-01,XSWX,2019
2019-05-30,XSWX,2019
2019-06-10,XSWX,2019
2019-08-01,XSWX,2019
2019-12-24,XSWX,2019
2019-12-25,XSWX,2019
2019-12-26,XSWX,2019
2019-12-31,XSWX,2019
2020-01-01,XSWX,2020
2020-01-02,XSWX,2020
2020-04-10,XSWX,2020
2020-04-13,XSWX,2020
2020-05-01,XSWX,2020
2020-05-21,XSWX,2020
2020-06-01,XSWX,2020
2020-12-24,XSWX,2020
2020-12-25,XSWX,2020
2020-12-31,XSWX,2020
2021-01-01,XSWX,2021
2021-04-02,XSWX,2021
2021-04-05,XSWX,2021
2021-05-13,XSWX,2021
2021-05-24,XSWX,2021
2021-12-24,XSWX,2021
2021-12-31,XSWX,2021
2022-04-15,XSWX,2022
2022-04-18,XSWX,2022
2022-05-26,XSWX,2022
2022-06-06,XSWX,2022
2022-08-01,XSWX,2022
2022-12-26,XSWX,2022
2023-01-02,XSWX,2023
2023-04-07,XSWX,2023
2023-04-10,XSWX,2023
2023-05-01,XSWX,2023
2023-05-18,XSWX,2023
2023-05-29,XSWX,2023
2023-08-01,XSWX,2023
2023-12-25,XSWX,2023
2023-12-26,XSWX,2023
2024-01-01,XSWX,2024
2024-01-02,XSWX,2024
2024-03-29,XSWX,2024
2024-04-01,XSWX,2024
2024-05-01,XSWX,2024
2024-05-09,XSWX,2024
2024-05-20,XSWX,2024
2024-08-01,XSWX,2024
2024-12-24,XSWX,2024
2024-12-25,XSWX,2024
2024-12-26,XSWX,2024
2024-12-31,XSWX,2024
2000-04-21,XMIL,2000
2000-04-24,XMIL,2000
2000-05-01,XMIL,2000
2000-08-15,XMIL,2000
2000-12-25,XMIL,2000
2000-12-26,XMIL,2000
2001-01-01,XMIL,2001
2001-04-13,XMIL,2001
2001-04-16,XMIL,2001
2001-05-01,XMIL,2001
2001-08-15,XMIL,2001
2001-12-24,XMIL,2001
2001-12-25,XMIL,2001
2001-12-26,XMIL,2001
2001-12-31,XMIL,2001
2002-01-01,XMIL,2002
2002-03-29,XMIL,2002
2002-04-01,XMIL,2002
2002-05-01,XMIL,2002
2002-08-15,XMIL,2002
2002-12-24,XMIL,2002
2002-12-25,XMIL,2002
2002-12-26,XMIL,2002
2002-12-31,XMIL,2002
2003-01-01,XMIL,2003
2003-04-18,XMIL,2003
2003-04-21,XMIL,2003
2003-05-01,XMIL,2003
2003-08-15,XMIL,2003
2003-12-24,XMIL,2003
2003-12-25,XMIL,2003
2003-12-26,XMIL,2003
2003-12-31,XMIL,2003
2004-01-01,XMIL,2004
2004-04-09,XMIL,2004
2004-04-12,XMIL,2004
2004-12-24,XMIL,2004
2004-12-31,XMIL,2004
2005-03-25,XMIL,2005
2005-03-28,XMIL,2005
2005-08-15,XMIL,2005
2005-12-26,XMIL,2005
2006-04-14,XMIL,2006
2006-04-17,XMIL,2006
2006-05-01,XMIL,2006
2006-08-15,XMIL,2006
2006-12-25,XMIL,2006
2006-12-26,XMIL,2006
2007-01-01,XMIL,2007
2007-04-06,XMIL,2007
2007-04-09,XMIL,2007
2007-05-01,XMIL,2007
